Country,Continent/Area,National Language
United States,North America,English
Canada,North America,English / French
Mexico,North America,Spainish
Argentina,South America,Spainish
Brazil,South America,Portuguese
Germany,Europe,German
Austria,Europe,German
Poland,Europe,Polish
France,Europe,French
England,Europe,English
Italy,Europe,Italian
Spain,Europe,Spainish
Russia,Europe,Russian
Bulgaria,Europe,Bulgarian
Australia,Australia,English
China,Asia,Chinese
Japan,Asia,Japanese
India,Asia,Indian
Israel,Middle East,Hebrew
Lebanon,Middle East,Arabic
Syria,Middle East,Arabic
Egypt,Middle East,Arabic
Iraq,Middle East,Arabic
Morocco,Africa,Arabic
Nigeria,Africa,English
South Africa,Africa,English